tconst,ordering,nconst,category,characters,averageRating,numVotes,directors,writers,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres,decennie_startYear,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title,region,language,isOriginalTitle,overview
tt0411267,10,nm0341591,actor,Police Inspector,5.3,11444,nm0269502,"nm1646516,nm1351157",movie,The Dark,0.0,2005.0,93.0,"Drama,Fantasy,Horror",2000.0,Robin Griffith,1939.0,2017.0,actor,"tt0485301,tt0411267,tt1701920,tt0096818",The Dark,FR,fr,0,"In an attempt to pull her family together, Adèlle travels with her young daughter Sarah to Wales to visit her father. The morning after they arrive, Sarah mysteriously vanishes in the ocean. Not long after, a little girl bearing a striking resemblance to their missing daughter reveals that she has retuned from the dead  — and that Sarah has been taken to the Welsh underworld."
tt0314412,9,nm1257544,actress,Patsy,7.4,25895,nm0170043,"nm0170043,nm1563090",movie,My Life Without Me,0.0,2003.0,106.0,"Drama,Romance",2000.0,Kenya Jo Kennedy,,,actress,"tt0314412,tt0304669,tt0460681,tt0281432",Ma vie sans moi,FR,fr,0,A fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.
tt0325980,9,nm1400933,actor,Lt. Gillette,8.1,1217841,nm0893659,"nm0254645,nm0744429,nm0064181,nm0938684",movie,Pirates of the Caribbean: The Curse of the Black Pearl,0.0,2003.0,143.0,"Action,Adventure,Fantasy",2000.0,Damian O'Hare,1977.0,,actor,"tt0325980,tt1298650,tt1985443,tt3688342",Pirates des Caraïbes : La Malédiction du Black Pearl,FR,fr,0,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her."
tt0352994,7,nm0501703,actor,Alfred Himmelman,7.3,7059,nm0297202,"nm0074257,nm0676358,nm0835271,nm0879799",movie,Walk on Water,0.0,2004.0,103.0,"Drama,Mystery,Thriller",2000.0,Ernest Lenart,1912.0,2005.0,actor,"tt0062919,tt0352994,tt0115270,tt0070999",Tu marcheras sur l'eau,FR,fr,0,"Eyal, an Israeli Mossad agent, is given the mission to track down and kill the very old Alfred Himmelman, an ex-Nazi officer, who might still be alive. Pretending to be a tourist guide, he befriends his grandson Axel, in Israel to visit his sister Pia. The two men set out on a tour of the country, during which Axel challenges Eyal's values."
tt0411705,2,nm1626256,actress,Lisa,4.7,24088,nm0935863,nm0935863,movie,9 Songs,0.0,2004.0,71.0,"Drama,Music,Romance",2000.0,Margo Stilley,1982.0,,actress,"tt0411705,tt0455538,tt1740047,tt1024652",9 Songs,FR,fr,0,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs."
tt0338013,16,nm0326512,producer,unknown,8.3,1083958,nm0327273,"nm0442109,nm0327273,nm1410028",movie,Eternal Sunshine of the Spotless Mind,0.0,2004.0,108.0,"Drama,Romance,Sci-Fi",2000.0,Steve Golin,1955.0,2019.0,producer,"tt0338013,tt1663202,tt0120601,tt1895587",Eternal Sunshine of the Spotless Mind,FR,fr,0,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake."
tt0245712,1,nm0248408,actor,El Chivo,8.1,253885,nm0327944,nm0037247,movie,Amores perros,0.0,2000.0,154.0,"Drama,Thriller",2000.0,Emilio Echevarría,,,actor,"tt0245712,tt0246460,tt0245574,tt0449467",Amours chiennes,FR,fr,0,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog."
tt0399146,10,nm0443184,actress,Judy Danvers,7.4,253904,nm0000343,"nm0905957,nm1583671,nm0647939",movie,A History of Violence,0.0,2005.0,96.0,"Action,Crime,Drama",2000.0,Sumela Kay,1986.0,,actress,"tt0399146,tt0120903,tt0124879,tt0117179",A History of Violence,FR,fr,0,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.
tt0298203,7,nm1138637,actor,DJ Iz,7.2,323545,nm0000436,nm0798788,movie,8 Mile,0.0,2002.0,110.0,"Drama,Music",2000.0,De'Angelo Wilson,1979.0,2008.0,actor,"tt0298203,tt0168786,tt0436742,tt0395843",8 Mile,FR,fr,0,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance."
tt0445620,5,nm0627213,actor,Car Owner,7.4,24143,nm0009463,"nm0009463,nm1178208,nm0388293",movie,Paradise Now,0.0,2005.0,91.0,"Crime,Drama,Thriller",2000.0,Lutuf Nouasser,1950.0,,actor,"tt0445620,tt3151028,tt0102213,tt0094669",Paradise Now,FR,fr,0,Two childhood friends are recruited for a suicide bombing in Tel Aviv.
tt0405159,13,nm0101801,writer,unknown,8.1,724776,nm0000142,"nm0353673,nm0101801",movie,Million Dollar Baby,0.0,2004.0,132.0,"Drama,Sport",2000.0,F.X. Toole,1930.0,2002.0,writer,"tt0405159,tt0059296",Million Dollar Baby,FR,fr,0,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her."
